"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 23 15:22:35 CST 2021","Thu Dec 23 15:22:49 CST 2021","13770","TestCase","test_search","TestSearch","","","test_001","搜索"
"passed","Thu Dec 23 15:22:50 CST 2021","Thu Dec 23 15:22:51 CST 2021","1714","TestCase","test_search","TestSearch","","","test_002","测试搜索候选"
